id,key,value,type
27607597,source,PGS,regular
27607597,created_by,shp2osm,regular
27607598,source,PGS,regular
27607598,created_by,shp2osm,regular
27607599,source,PGS,regular
27607601,source,PGS,regular
27607603,source,PGS,regular
27607604,source,PGS,regular
27607605,source,PGS,regular
27607605,created_by,shp2osm,regular
27607606,source,PGS,regular
27607608,source,PGS,regular
27607609,source,PGS,regular
27607609,created_by,shp2osm,regular
27607611,source,PGS,regular
27607612,source,PGS,regular
27607612,created_by,shp2osm,regular
27607614,source,PGS,regular
27607614,created_by,shp2osm,regular
27607615,source,PGS,regular
27607618,source,PGS,regular
27607618,created_by,shp2osm,regular
27607619,source,PGS,regular
27607620,source,PGS,regular
27607621,source,PGS,regular
27607623,source,PGS,regular
27607623,created_by,shp2osm,regular
27607624,source,PGS,regular
27607625,source,PGS,regular
27607627,source,PGS,regular
27607627,created_by,shp2osm,regular
27607629,source,PGS,regular
27607629,created_by,shp2osm,regular
27607630,source,PGS,regular
27607631,source,PGS,regular
27607632,source,PGS,regular
27607634,source,PGS,regular
27607635,source,PGS,regular
27607635,created_by,shp2osm,regular
27607636,source,PGS,regular
27607637,source,PGS,regular
27607639,source,PGS,regular
27607640,source,PGS,regular
27607643,source,PGS,regular
27607643,created_by,shp2osm,regular
27607644,source,PGS,regular
27607645,source,PGS,regular
27607646,source,PGS,regular
27607647,source,PGS,regular
27607648,source,PGS,regular
27607651,source,PGS,regular
27607653,source,PGS,regular
27607654,source,PGS,regular
27607658,source,PGS,regular
27607658,created_by,shp2osm,regular
27607659,source,PGS,regular
27607663,source,PGS,regular
27607665,source,PGS,regular
27607667,source,PGS,regular
27607670,source,PGS,regular
27607671,source,PGS,regular
27607671,created_by,shp2osm,regular
27607676,source,PGS,regular
27607678,source,PGS,regular
27607678,created_by,shp2osm,regular
27607681,source,PGS,regular
27607682,source,PGS,regular
27607683,source,PGS,regular
27607684,source,PGS,regular
27607686,source,PGS,regular
27607686,created_by,shp2osm,regular
27607687,source,PGS,regular
